Nhóm ngành,Ngành,Trường đào tạo,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn 2024
Kế toán - Kiểm toán,Kế toán,Đại Học Kinh Tế Quốc Dân,7340301,Kế toán,A00; A01; D01; D07,27.29
Kế toán - Kiểm toán,Kế toán,Đại Học Kinh Tế Quốc Dân,EP04,Kế toán tích hợp chứng chỉ quốc tế UCAEW CFAB),A00; A01; D01; D07,27.2
Kế toán - Kiểm toán,Kế toán,Đại Học Bách Khoa Hà Nội,EM4,Kế toán,A00; A01; D01,25.8
Kế toán - Kiểm toán,Kế toán,Học Viện Tài chính,7340301,Kế toán,A00; A01; D01; D07,26.45
Kế toán - Kiểm toán,Kế toán,Học Viện Tài chính,7340301C21,Kế toán doanh nghiệp (theo định hướng ACCA),A01; D01; D07,34.35
Kế toán - Kiểm toán,Kế toán,Học Viện Ngân Hàng,ACT01,Kế toán (Chương trình Chất lượng cao),A00; A01; D01; D07,34
Kế toán - Kiểm toán,Kế toán,Học Viện Ngân Hàng,ACT02,Kế toán,A00; A01; D01; D07,26.25
Kế toán - Kiểm toán,Kế toán,Học Viện Ngân Hàng,ACT03,"Kế toán (Liên kết với ĐH Sunderland, Anh quốc. Cấp song bằng)",A00; A01; D01; D07,24
Kế toán - Kiểm toán,Kế toán,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340301,Kế toán,A00; A01; D01,25.29
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Thương Mại,TM07,Marketing (Marketing thương mại),A00; A01; D01; D07,26.15
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Thương Mại,TM08,Marketing (Marketing thương mại) - Chương trình đào tạo định hương chuyên sâu nghề nghiệp quốc tế - IPOP,A00; A01; D01; D07,25
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Thương Mại,TM09,Marketing (Marketing số),A00; A01; D01; D07,25.9
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Giao Thông Vận Tải,7340301,Kế toán (chuyên ngành Kế toán tổng hợp),A00; A01; D01; D07,25.2
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Giao Thông Vận Tải,7340301 QT,Kế toán (Chương trình CLC Kế toán tổng hợp Viêt - Anh),A00; A01; D01; D07,23.51
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Công Nghiệp Hà Nội,7340301,Kế toán,A00; A01; D01,24.01
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Công Nghiệp TPHCM,7340301,Kế toán gồm 02 chuyên ngành: Kế toán; Thuế,A00; A01; D01; D96,23
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Công Nghiệp TPHCM,7340301C,Kế toán gồm 02 chuyên ngành: Kế toán; Thuế,A00; A01; D01; D96,21
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Công Nghiệp TPHCM,7340301Q,Kế toán tích hợp chứng chỉ quốc tế Advanced Diploma in Accounting & Business của Hiệp hội Kế toán công chứng Anh (ACCA),A00; A01; D01; D96,21
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,7340301DKD,Kế toán,A00; A01; C01; D01,17.5
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,7340301DKK,Kế toán,A00; A01; C01; D01,23
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Công Thương TPHCM,7340301,Kế toán,A00; A01; D01; D10,22.5
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Phenikaa,FBE2,Kế toán,A00; A01; D01; D07,20
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Hà Nội,7340301,Kế toán,D01,25.08
Kế toán - Kiểm toán,Kế toán,Trường Đại học Thủ Dầu Một,7340301,Kế toán,A00; A01; D01; A16,22
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Thăng Long,7340301,Kế toán,A00; A01; D01; D07,23.86
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Thủy Lợi,TLA403,Kế toán,A00; A01; D01; D07,25.02
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,7340301,Kế toán,A00; A01; C01; D01,32.4
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,D7340301,Kế toán (Chuyên ngành Kế toán quốc tế) - Chương trình dự bị đại học bằng tiếng Anh,A01; D01,24
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,DK7340301,Kế toán (song bằng 3+1) - Chương trình dự bị liên kết Đại học West of England. Bristol (Vương Quốc Anh),A01; D01,24
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,F7340301,Kế toán - Chất lượng cao,A00; A01; C01; D01,27
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,FA7340301,Kế toán (Chuyên ngành Kế toán quốc tế) - Chương trình đại học bằng tiếng Anh,E04; E06; D01; A01,24
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,K7340301,Kế toán (song bằng 3+1) - Chương trình liên kết Đại học West of England. Bristol (Vương quốc Anh),E04; E06; D01; A01,24
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,N7340301,Kế toán - Chương trình học tại Phân hiệu Khánh Hòa,A00; A01; C01; D01,22
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kinh Tế – Đại Học Quốc Gia Hà Nội,7340301,Kế toán,A01; D01; D09; D10,33.1
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Cần Thơ,7340301,Ke toán,A00; A01; C02; D01,24.2
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Sài Gòn,7340301,Kế toán,D01,23.18
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Sài Gòn,7340301CLC,Kế toán (chương trình chất lượng cao),D01,22.8
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Sư Phạm Kỹ Thuật TPHCM,7340301V,Kế toán (đào tạo bằng tiếng Việt),A00; A01; D01; D90,22.75
Kế toán - Kiểm toán,Kế toán,Trường Đại học Kinh Tế Luật – Đại Học Quốc Gia TPHCM,7340301_405,Kế toán,A00; A01; D01; D07,26.17
Kế toán - Kiểm toán,Kế toán,Trường Đại học Kinh Tế Luật – Đại Học Quốc Gia TPHCM,7340301_405E,Kế toán (Tích hợp CCQT ICAEW - Tiếng Anh),A00; A01; D01; D07,25.7
Kế toán - Kiểm toán,Kế toán,Đại Học Kinh Tế TPHCM,7340301_01,Chương trình Kế toán tích hợp chứng chỉ nghề nghiệp quốc tế (của tố chức nghề nghiệp ICAEW và ACCA),A00; A01; D01; D07,25.2
Kế toán - Kiểm toán,Kế toán,Đại Học Kinh Tế TPHCM,7340301_02,Kế toán công,A00; A01; D01; D07,25.5
Kế toán - Kiểm toán,Kế toán,Đại Học Kinh Tế TPHCM,7340301_03,Kế toán doanh nghiệp,A00; A01; D01; D07,25.4
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tài Chính Marketing,7340301,Kế toán,A00; A01; D01; D96,25
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tài Chính Marketing,7340301_TH,Kế toán,A00; A01; D01; D96,22.5
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Giao Thông Vận Tải (Cơ sở 2),7340301,Kế toán,A00; A01; D01; C01,23.95
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Nha Trang,7340301,Kế toán,D01; D14; D15; D96,20
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Nha Trang,7340301A,Kế toán (Chương trình đặc biệt),A01; D01; D07; D96,20
Kế toán - Kiểm toán,Kế toán,Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),7340301,Kế toán,A00; A01; D01,20.95
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7340301,Kế toán,A00; A01; D01; D07,22.5
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7340301_MQ,Kế toán (Chương trình liên kết với ĐH Macquarie) (2+1),A00; A01; D01; D07,20
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Hùng Vương,7340301,Kế toán,A00; A01; A09; D01,18
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Hải Phòng,7340301,Kế toán,A00; A01; C01; D01,20
Kế toán - Kiểm toán,Kế toán,Học Viện Chính Sách và Phát Triển,7340301,Kế toán,A00; A01; D01; D07,25.84
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Mở Hà Nội,7340301,Kế toán,A00; A01; D01,23.75
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Vinh,7340301,Kế toán,A00; A01; D01; D07,20
Kế toán - Kiểm toán,Kế toán,Trường Đại Học An Giang - Đại học Quốc gia TPHCM,7340301,Kế toán,A00; A01; C15; D01,23.02
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Đồng Tháp,7340301,Kế toán,A00; A01; D01; D10,19.1
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tây Nguyên,7340301,Kế toán,A00; A01; D01; D07,18.55
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Quy Nhơn,7340301,Kế toán,A00; A01; D01,17.75
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Quy Nhơn,7340301CLC,Kế toán CLC,A00; A01; D01,18
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,7340301,Kế toán,A00; A01; D01; D90,24.25
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Hạ Long,7340301,Kế toán,A00; A01; D01; D10,15
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Hải Dương,7340301,Kế toán,A00; A01; D01,15
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Quảng Bình,7340301,Kế toán,A01; A09; C02; D01,15
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Hà Tĩnh,7340301,Kế toán,A00; C04; C14; D01,15
Kế toán - Kiểm toán,Kế toán,Trường Đại học Tài Nguyên và Môi Trường Hà Nội,7340301,Kế toán,A00; A01; A07; D01,24.25
Kế toán - Kiểm toán,Kế toán,Trường Đại học Tài Nguyên và Môi Trường Hà Nội,7340301PH,Kế toán,A00; A01; A07; D01,15
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Ngân Hàng TPHCM,7340301,Kế toán,A00; A01; D01; D07,25.29
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Ngân Hàng TPHCM,7340301_TABP,Kế Toán (Tiếng Anh bán phần),A00; A01; D01; D07,23.65
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Lao Động – Xã Hội,7340301,Kế toán,A00; A01; D01,22.65
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Bạc Liêu,7340301,Kế toán,A00; A01; D01; D90,15
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Lao Động – Xã Hội (Cơ sở II),7340301,Kế toán,A00; A01; D01,21.9
Kế toán - Kiểm toán,Kế toán,Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,7340301,Kế toán,A00; A09; D01; C00,15
Kế toán - Kiểm toán,Kế toán,Trường Đại học Kỹ Thuật Công Nghệ Cần Thơ,7340301,Kế toán,A00; C01; C02; D01,23.19
Kế toán - Kiểm toán,Kế toán,Trường Quốc Tế – Đại Học Quốc Gia Hà Nội,QHQ02,"Kế toán, Phân tích và Kiểm toán",A00; A01; D01; D03; D06; D96; D97; DD0,22.75
Kế toán - Kiểm toán,Kế toán,Trường Đại học Công nghiệp Vinh,7340301,Kế toán,A00; A01; D01; D07,20
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Trà Vinh,7340301,Kế toán,A00; A01; C01; D01,15
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Nông Lâm TPHCM,7340301,Kế toán,A00; A01; D01,23
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Sư Phạm Kỹ Thuật Hưng Yên,7340301,Kế toán,A00; A01; D01; D07,16
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Mở TPHCM,7340301,Kế toán,A00; A01; D01; D07,21
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Mở TPHCM,7340301C,Kế toán (CT chất lượng cao),D07; A01; D01; D96,18
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tài Chính Ngân Hàng Hà Nội,7340301,Kế toán,A00; A01; D01; C04,23.75
Kế toán - Kiểm toán,Kế toán,Trường Đại học Công nghệ Giao thông vận tải,GTADCKTI,Kế toán doanh nghiệp,A00; A01; D01; D07,16
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Mỏ Địa Chất,7340301,Kế toán,A00; A01; D01; D07,23.75
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Điện Lực,7340301,Kế toán,A00; A01; D07; D01,22.35
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Phương Đông,7340301,Kế toán,A00; A01; D01,16
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kiến Trúc Đà Nẵng,7340301,Kế toán,A00; A01; B00; D01,19.5
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kinh Doanh và Công Nghệ Hà Nội,7340301,Kế toán,A00; A08; C03; D01,21.5
Kế toán - Kiểm toán,Kế toán,Học Viện Ngân Hàng (Phân Viện Bắc Ninh),ACT02,Kế toán,A00; A01; D01; D07,23.3
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Nguyễn Tất Thành,7340301,Kế toán,A00; A01; D01; D07,15
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kinh Tế – Đại Học Huế,7340301,Kế toán,A00; A01; C15; D01,19
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kinh Tế – Đại Học Huế,7340301TA,Kế toán (Đào tạo bằng Tiếng Anh),A00; A01; C15; D01,18
Kế toán - Kiểm toán,Kế toán,Đại Học Duy Tân,7340301,Kế toán,A00; A16; C01; D01,16
Kế toán - Kiểm toán,Kế toán,Trường Đại học Nam Cần Thơ,7340301,Kế toán,A00; A01; C04; D01,16
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Quốc Tế Hồng Bàng,7340301,Kế Toán,A00; A01; D01; C01,15
Kế toán - Kiểm toán,Kế toán,Trường Đại học Tân Tạo,7340301,Kế toán,A00; A01; D01; D07,15
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Cửu Long,7340301,Kế toán,A00; A01; D01; C04,15
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Văn Lang,7340301,Kế toán,A00; A01; D01; D10,16
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kinh Bắc,7340301,Kế toán,A00; A01; C04; D01,15
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Hòa Bình,7340301,Kế toán,A00; A01; D01; D96,17
